"cnae_fiscal","descricao"
"4921302","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana"
"3314714","Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo"
"6423900","Caixas econômicas"
"8888888","Atividade Econônica não informada"
"6437900","Sociedades de crédito ao microempreendedor"
"6421200","Bancos comerciais"
"4664800","Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
"8640205","Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia"
"9529101","Reparação de calçados, bolsas e artigos de viagem"
"4330403","Obras de acabamento em gesso e estuque"
"7719501","Locação de embarcações sem tripulação, exceto para fins recreativos"
"2815102","Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos"
"8122200","Imunização e controle de pragas urbanas"
"6611801","Bolsa de valores"
"4713004","Lojas de departamentos ou magazines, exceto lojas francas (Duty free)"
"4618499","Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente"
"1099606","Fabricação de adoçantes naturais e artificiais"
"5811500","Edição de livros"
"3832700","Recuperação de materiais plásticos"
"2740601","Fabricação de lâmpadas"
"0710301","Extração de minério de ferro"
"4683400","Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
"1011203","Frigorífico - abate de ovinos e caprinos"
"2920401","Fabricação de caminhões e ônibus"
"4649410","Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
"2740602","Fabricação de luminárias e outros equipamentos de iluminação"
"4757100","Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação"
"5590602","Campings"
"0210108","Produção de carvão vegetal - florestas plantadas"
"2431800","Produção de tubos de aço com costura"
"3821100","Tratamento e disposição de resíduos não-perigosos"
"4691500","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
"1811301","Impressão de jornais"
"4930202","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
"2831300","Fabricação de tratores agrícolas, peças e acessórios"
"2945000","Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
"1610204","Serrarias sem desdobramento de madeira em bruto  -Resserragem"
"8542200","Educação profissional de nível tecnológico"
"1099603","Fabricação de fermentos e leveduras"
"0311603","Coleta de outros produtos marinhos"
"8690904","Atividades de podologia"
"1414200","Fabricação de acessórios do vestuário, exceto para segurança e proteção"
"8220200","Atividades de teleatendimento"
"1061901","Beneficiamento de arroz"
"2092403","Fabricação de fósforos de segurança"
"3839401","Usinas de compostagem"
"0724301","Extração de minério de metais preciosos"
"6204000","Consultoria em tecnologia da informação"
"2731700","Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica"
"8299703","Serviços de gravação de carimbos, exceto confecção"
"1043100","Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais"
"0322102","Criação de camarões em água doce"
"3811400","Coleta de resíduos não-perigosos"
"4291000","Obras portuárias, marítimas e fluviais"
"7810800","Seleção e agenciamento de mão-de-obra"
"7319003","Marketing direto"
"9602502","Atividades de estética e outros serviços de cuidados com a beleza"
"2759799","Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios"
"0500301","Extração de carvão mineral"
"1741901","Fabricação de formulários contínuos"
"4221901","Construção de barragens e represas para geração de energia elétrica"
"0119999","Cultivo de outras plantas de lavoura temporária não especificadas anteriormente"
"1041400","Fabricação de óleos vegetais em bruto, exceto óleo de milho"
"6120502","Serviço móvel especializado - SME"
"7990200","Serviços de reservas e outros serviços de turismo não especificados anteriormente"
"6110802","Serviços de redes de transportes de telecomunicações - SRTT"
"8599603","Treinamento em informática"
"3812200","Coleta de resíduos perigosos"
"6619304","Caixas eletrônicos"
"0155503","Criação de outros galináceos, exceto para corte"
"1011205","Matadouro - abate de reses sob contrato - exceto abate de suínos"
"2821601","Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios"
"9529104","Reparação de bicicletas, triciclos e outros veículos não-motorizados"
"1033302","Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"
"1340501","Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário"
"4634603","Comércio atacadista de pescados e frutos do mar"
"4541206","Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas"
"3314704","Manutenção e reparação de compressores"
"9200302","Exploração de apostas em corridas de cavalos"
"0210199","Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas"
"5229099","Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente"
"4789009","Comércio varejista de armas e munições"
"1062700","Moagem de trigo e fabricação de derivados"
"7490102","Escafandria e mergulho"
"1422300","Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
"5011401","Transporte marítimo de cabotagem - Carga"
"2670101","Fabricação de equipamentos e instrumentos ópticos, peças e acessórios"
"3211602","Fabricação de artefatos de joalheria e ourivesaria"
"0322199","Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente"
"0112102","Cultivo de juta"
"3314719","Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
"5812301","Edição de jornais diários"
"0500302","Beneficiamento de carvão mineral"
"3314718","Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta"
"5130700","Transporte espacial"
"1340599","Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário"
"7739099","Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador"
"7729202","Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"
"5091201","Transporte por navegação de travessia, municipal"
"8720401","Atividades de centros de assistência psicossocial"
"2710401","Fabricação de geradores de corrente contínua e alternada, peças e acessórios"
"7111100","Serviços de arquitetura"
"4782201","Comércio varejista de calçados"
"2441501","Produção de alumínio e suas ligas em formas primárias"
"9430800","Atividades de associações de defesa de direitos sociais"
"4929903","Organização de excursões em veículos rodoviários próprios, municipal"
"2539001","Serviços de usinagem, tornearia e solda"
"6391700","Agências de notícias"
"4213800","Obras de urbanização - ruas, praças e calçadas"
"3250703","Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda"
"8650003","Atividades de psicologia e psicanálise"
"2330301","Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda"
"4930201","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal."
"7420005","Serviços de microfilmagem"
"3831999","Recuperação de materiais metálicos, exceto alumínio"
"5620101","Fornecimento de alimentos preparados preponderantemente para empresas"
"7311400","Agências de publicidade"
"9200301","Casas de bingo"
"9319101","Produção e promoção de eventos esportivos"
"0810003","Extração de mármore e beneficiamento associado"
"8512100","Educação infantil - pré-escola"
"8711501","Clínicas e residências geriátricas"
"1722200","Fabricação de cartolina e papel-cartão"
"8020002","Outras atividades de serviços de segurança"
"4950700","Trens turísticos, teleféricos e similares"
"5911199","Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
"2854200","Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores"
"4637107","Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes"
"1922502","Rerrefino de óleos lubrificantes"
"6611803","Bolsa de mercadorias e futuros"
"3041500","Fabricação de aeronaves"
"6110801","Serviços de telefonia fixa comutada - STFC"
"9603399","Atividades funerárias e serviços relacionados não especificados anteriormente"
"2930103","Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus"
"5099801","Transporte aquaviário para passeios turísticos"
"0142300","Produção de mudas e outras formas de propagação vegetal, certificadas"
"2863100","Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios"
"2542000","Fabricação de artigos de serralheria, exceto esquadrias"
"1922501","Formulação de combustíveis"
"5212500","Carga e descarga"
"2221800","Fabricação de laminados planos e tubulares de material plástico"
"1012101","Abate de aves"
"2022300","Fabricação de intermediários para plastificantes, resinas e fibras"
"8532500","Educação superior - graduação e pós-graduação"
"5611204","Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento"
"4623199","Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente"
"3312102","Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle"
"1533500","Fabricação de calçados de material sintético"
"4623106","Comércio atacadista de sementes, flores, plantas e gramas"
"2422902","Produção de laminados planos de aços especiais"
"3314707","Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial"
"8630504","Atividade odontológica"
"2631100","Fabricação de equipamentos transmissores de comunicação, peças e acessórios"
"2229302","Fabricação de artefatos de material plástico para usos industriais"
"0220902","Produção de carvão vegetal - florestas nativas"
"6619305","Operadoras de cartões de débito"
"6110803","Serviços de comunicação multimídia - SCM"
"4311802","Preparação de canteiro e limpeza de terreno"
"4635401","Comércio atacadista de água mineral"
"0154700","Criação de suínos"
"1622601","Fabricação de casas de madeira pré-fabricadas"
"8599601","Formação de condutores"
"4646001","Comércio atacadista de cosméticos e produtos de perfumaria"
"4921301","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal"
"0910600","Atividades de apoio à extração de petróleo e gás natural"
"3314717","Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores"
"1099601","Fabricação de vinagres"
"0133499","Cultivo de frutas de lavoura permanente não especificadas anteriormente"
"0121101","Horticultura, exceto morango"
"5211702","Guarda-móveis"
"0161001","Serviço de pulverização e controle de pragas agrícolas"
"0322104","Criação de peixes ornamentais em água doce"
"0321301","Criação de peixes em água salgada e salobra"
"1812100","Impressão de material de segurança"
"0119902","Cultivo de alho"
"2051700","Fabricação de defensivos agrícolas"
"4684201","Comércio atacadista de resinas e elastômeros"
"1012103","Frigorífico - abate de suínos"
"5239701","Serviços de praticagem"
"1922599","Fabricação de outros produtos derivados do petróleo, exceto produtos do refino"
"1610203","Serrarias com desdobramento de madeira em bruto"
"7732201","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes"
"8593700","Ensino de idiomas"
"1531902","Acabamento de calçados de couro sob contrato"
"3102100","Fabricação de móveis com predominância de metal"
"1111902","Fabricação de outras aguardentes e bebidas destiladas"
"3702900","Atividades relacionadas a esgoto, exceto a gestão de redes"
"1421500","Fabricação de meias"
"9002702","Restauração de obras-de-arte"
"1621800","Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
"0155502","Produção de pintos de um dia"
"2021500","Fabricação de produtos petroquímicos básicos"
"4771704","Comércio varejista de medicamentos veterinários"
"4623102","Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal"
"8640201","Laboratórios de anatomia patológica e citológica"
"2421100","Produção de semi-acabados de aço"
"2864000","Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios"
"4662100","Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
"0899103","Extração de amianto"
"0159899","Criação de outros animais não especificados anteriormente"
"4292801","Montagem de estruturas metálicas"
"4110700","Incorporação de empreendimentos imobiliários"
"4221902","Construção de estações e redes de distribuição de energia elétrica"
"4637106","Comércio atacadista de sorvetes"
"2312500","Fabricação de embalagens de vidro"
"0893200","Extração de gemas (pedras preciosas e semipreciosas)"
"4689399","Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente"
"2013401","Fabricação de adubos e fertilizantes organo-minerais"
"2733300","Fabricação de fios, cabos e condutores elétricos isolados"
"4617600","Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
"9102301","Atividades de museus e de exploração de lugares e prédios históricos e atrações similares"
"2092401","Fabricação de pólvoras, explosivos e detonantes"
"1112700","Fabricação de vinho"
"9329802","Exploração de boliches"
"4330402","Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material"
"4642701","Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança"
"3514000","Distribuição de energia elétrica"
"7911200","Agências de viagens"
"0810002","Extração de granito e beneficiamento associado"
"5022002","Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia"
"0139301","Cultivo de chá-da-índia"
"3511502","Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica"
"1053800","Fabricação de sorvetes e outros gelados comestíveis"
"2824102","Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial"
"4299599","Outras obras de engenharia civil não especificadas anteriormente"
"4399199","Serviços especializados para construção não especificados anteriormente"
"1321900","Tecelagem de fios de algodão"
"2640000","Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
"8640202","Laboratórios clínicos"
"5611203","Lanchonetes, casas de chá, de sucos e similares"
"2072000","Fabricação de tintas de impressão"
"7739001","Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador"
"0600001","Extração de petróleo e gás natural"
"7719502","Locação de aeronaves sem tripulação"
"8011102","Serviços de adestramento de cães de guarda"
"4212000","Construção de obras de arte especiais"
"4712100","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
"9499500","Atividades associativas não especificadas anteriormente"
"0113000","Cultivo de cana-de-açúcar"
"0161002","Serviço de poda de árvores para lavouras"
"2063100","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
"2330304","Fabricação de casas pré-moldadas de concreto"
"8423000","Justiça"
"4649404","Comércio atacadista de móveis e artigos de colchoaria"
"4682600","Comércio atacadista de gás liqüefeito de petróleo (GLP)"
"4637101","Comércio atacadista de café torrado, moído e solúvel"
"4713002","Lojas de variedades, exceto lojas de departamentos ou magazines"
"8211300","Serviços combinados de escritório e apoio administrativo"
"0122900","Cultivo de flores e plantas ornamentais"
"6470103","Fundos de investimento imobiliários"
"5920100","Atividades de gravação de som e de edição de música"
"6499904","Caixas de financiamento de corporações"
"4762800","Comércio varejista de discos, CDs, DVDs e fitas"
"6470102","Fundos de investimento previdenciários"
"5823900","Edição integrada à impressão de revistas"
"7319002","Promoção de vendas"
"4751201","Comércio varejista especializado de equipamentos e suprimentos de informática"
"2944100","Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores"
"2229303","Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"
"8531700","Educação superior - graduação"
"2532201","Produção de artefatos estampados de metal"
"2832100","Fabricação de equipamentos para irrigação agrícola, peças e acessórios"
"1312000","Preparação e fiação de fibras têxteis naturais, exceto algodão"
"2622100","Fabricação de periféricos para equipamentos de informática"
"1821100","Serviços de pré-impressão"
"8412400","Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais"
"8712300","Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio"
"0729401","Extração de minérios de nióbio e titânio"
"3314713","Manutenção e reparação de máquinas-ferramenta"
"1052000","Fabricação de laticínios"
"2531401","Produção de forjados de aço"
"9001903","Produção de espetáculos de dança"
"8711504","Centros de apoio a pacientes com câncer e com AIDS"
"9700500","Serviços domésticos"
"6130200","Telecomunicações por satélite"
"0810009","Extração de basalto e beneficiamento associado"
"6499903","Fundo garantidor de crédito"
"4329104","Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos"
"9411100","Atividades de organizações associativas patronais e empresariais"
"5030102","Navegação de apoio portuário"
"0312401","Pesca de peixes em água doce"
"5250803","Agenciamento de cargas, exceto para o transporte marítimo"
"2121103","Fabricação de medicamentos fitoterápicos para uso humano"
"1830002","Reprodução de vídeo em qualquer suporte"
"6462000","Holdings de instituições não-financeiras"
"4689302","Comércio atacadista de fios e fibras beneficiados"
"4912403","Transporte metroviário"
"8520100","Ensino médio"
"8630507","Atividades de reprodução humana assistida"
"3240003","Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação"
"1510600","Curtimento e outras preparações de couro"
"1013901","Fabricação de produtos de carne"
"9001904","Produção de espetáculos circenses, de marionetes e similares"
"3314705","Manutenção e reparação de equipamentos de transmissão para fins industriais"
"1099607","Fabricação de alimentos dietéticos e complementos alimentares"
"3211601","Lapidação de gemas"
"3314722","Manutenção e reparação de máquinas e aparelhos para a indústria do plástico"
"9102302","Restauração e conservação de lugares e prédios históricos"
"4754703","Comércio varejista de artigos de iluminação"
"0121102","Cultivo de morango"
"3313901","Manutenção e reparação de geradores, transformadores e motores elétricos"
"9609205","Atividades de sauna e banhos"
"6619301","Serviços de liquidação e custódia"
"2094100","Fabricação de catalisadores"
"4681803","Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante"
"5012202","Transporte marítimo de longo curso - Passageiros"
"8640208","Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos"
"4631100","Comércio atacadista de leite e laticínios"
"8640214","Serviços de bancos de células e tecidos humanos"
"6433600","Bancos de desenvolvimento"
"9601703","Toalheiros"
"7210000","Pesquisa e desenvolvimento experimental em ciências físicas e naturais"
"5231102","Atividades do Operador Portuário"
"5250805","Operador de transporte multimodal - OTM"
"0119906","Cultivo de mandioca"
"0892401","Extração de sal marinho"
"2821602","Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios"
"8800600","Serviços de assistência social sem alojamento"
"6202300","Desenvolvimento e licenciamento de programas de computador customizáveis"
"4542101","Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios"
"2824101","Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial"
"2814302","Fabricação de compressores para uso não industrial, peças e acessórios"
"4789002","Comércio varejista de plantas e flores naturais"
"4520008","Serviços de capotaria"
"0600002","Extração e beneficiamento de xisto"
"3314715","Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo"
"9002701","Atividades de artistas plásticos, jornalistas independentes e escritores"
"1122402","Fabricação de chá mate e outros chás prontos para consumo"
"5030103","Serviço de rebocadores e empurradores"
"2823200","Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios"
"5821200","Edição integrada à impressão de livros"
"5911102","Produção de filmes para publicidade"
"0312404","Atividades de apoio à pesca em água doce"
"2012600","Fabricação de intermediários para fertilizantes"
"2110600","Fabricação de produtos farmoquímicos"
"8650007","Atividades de terapia de nutrição enteral e parenteral"
"2869100","Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios"
"0133403","Cultivo de caju"
"4711301","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados"
"8621602","Serviços móveis de atendimento a urgências, exceto por UTI móvel"
"4329103","Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes"
"4763604","Comércio varejista de artigos de caça, pesca e camping"
"2399101","Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal"
"0322106","Criação de jacaré"
"3230200","Fabricação de artefatos para pesca e esporte"
"1932200","Fabricação de biocombustíveis, exceto álcool"
"2223400","Fabricação de tubos e acessórios de material plástico para uso na construção"
"4635402","Comércio atacadista de cerveja, chope e refrigerante"
"0133405","Cultivo de coco-da-baía"
"6511101","Sociedade seguradora de seguros vida"
"4759801","Comércio varejista de artigos de tapeçaria, cortinas e persianas"
"3312103","Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação"
"0322105","Ranicultura"
"1412602","Confecção, sob medida, de peças do vestuário, exceto roupas íntimas"
"2422901","Produção de laminados planos de aço ao carbono, revestidos ou não"
"6492100","Securitização de créditos"
"9529105","Reparação de artigos do mobiliário"
"0210104","Cultivo de teca"
"4313400","Obras de terraplenagem"
"2652300","Fabricação de cronômetros e relógios"
"8291100","Atividades de cobranças e informações cadastrais"
"6511102","Planos de auxílio-funeral"
"4635499","Comércio atacadista de bebidas não especificadas anteriormente"
"8011101","Atividades de vigilância e segurança privada"
"2866600","Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios"
"0899102","Extração de quartzo"
"2812700","Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas"
"8541400","Educação profissional de nível técnico"
"0312402","Pesca de crustáceos e moluscos em água doce"
"3314721","Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos"
"4744006","Comércio varejista de pedras para revestimento"
"4651601","Comércio atacadista de equipamentos de informática"
"4634601","Comércio atacadista de carnes bovinas e suínas e derivados"
"8513900","Ensino fundamental"
"6541300","Previdência complementar fechada"
"0116401","Cultivo de amendoim"
"5310502","Atividades de franqueadas do Correio Nacional"
"0162801","Serviço de inseminação artificial em animais"
"4391600","Obras de fundações"
"4649499","Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente"
"7490103","Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias"
"1094500","Fabricação de massas alimentícias"
"2825900","Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios"
"6143400","Operadoras de televisão por assinatura por satélite"
"3101200","Fabricação de móveis com predominância de madeira"
"2013402","Fabricação de adubos e fertilizantes, exceto organo-minerais"
"6470101","Fundos de investimento, exceto previdenciários e imobiliários"
"4679601","Comércio atacadista de tintas, vernizes e similares"
"6021700","Atividades de televisão aberta"
"4632002","Comércio atacadista de farinhas, amidos e féculas"
"8650001","Atividades de enfermagem"
"1113501","Fabricação de malte, inclusive malte uísque"
"1065102","Fabricação de óleo de milho em bruto"
"5911101","Estúdios cinematográficos"
"0220999","Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas"
"3317101","Manutenção e reparação de embarcações e estruturas flutuantes"
"2599302","Serviço de corte e dobra de metais"
"2621300","Fabricação de equipamentos de informática"
"9603301","Gestão e manutenção de cemitérios"
"8299701","Medição de consumo de energia elétrica, gás e água"
"4681801","Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re"
"9001905","Produção de espetáculos de rodeios, vaquejadas e similares"
"2949201","Fabricação de bancos e estofados para veículos automotores"
"4221905","Manutenção de estações e redes de telecomunicações"
"0116499","Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente"
"6613400","Administração de cartões de crédito"
"0119903","Cultivo de batata-inglesa"
"0322101","Criação de peixes em água doce"
"2610800","Fabricação de componentes eletrônicos"
"0133406","Cultivo de guaraná"
"4637103","Comércio atacadista de óleos e gorduras"
"1081302","Torrefação e moagem de café"
"1063500","Fabricação de farinha de mandioca e derivados"
"6619303","Representações de bancos estrangeiros"
"9602501","Cabeleireiros, manicure e pedicure"
"8550302","Atividades de apoio à educação, exceto caixas escolares"
"4520002","Serviços de lanternagem ou funilaria e pintura de veículos automotores"
"4632001","Comércio atacadista de cereais e leguminosas beneficiados"
"6622300","Corretores e agentes de seguros, de planos de previdência complementar e de saúde"
"7420002","Atividades de produção de fotografias aéreas e submarinas"
"9321200","Parques de diversão e parques temáticos"
"2452100","Fundição de metais não-ferrosos e suas ligas"
"1623400","Fabricação de artefatos de tanoaria e de embalagens de madeira"
"0163600","Atividades de pós-colheita"
"4761001","Comércio varejista de livros"
"2942500","Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores"
"4613300","Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
"4512901","Representantes comerciais e agentes do comércio de veículos automotores"
"8690999","Outras atividades de atenção à saúde humana não especificadas anteriormente"
"5250802","Atividades de despachantes aduaneiros"
"3511500","Geração de energia elétrica"
"4649407","Comércio atacadista de filmes, CDs, DVDs, fitas e discos"
"6311900","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet"
"1082100","Fabricação de produtos à base de café"
"5320201","Serviços de malote não realizados pelo Correio Nacional"
"8422100","Defesa"
"2815101","Fabricação de rolamentos para fins industriais"
"0159802","Criação de animais de estimação"
"4530705","Comércio a varejo de pneumáticos e câmaras-de-ar"
"8621601","UTI móvel"
"2522500","Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos"
"9329899","Outras atividades de recreação e lazer não especificadas anteriormente"
"7319004","Consultoria em publicidade"
"4639701","Comércio atacadista de produtos alimentícios em geral"
"2710403","Fabricação de motores elétricos, peças e acessórios"
"8599605","Cursos preparatórios para concursos"
"4641903","Comércio atacadista de artigos de armarinho"
